source_path,source_sha256,old_public_path,public_status,new_public_path,release_version,provenance_note
"/home/baisound/BAI_AI/task097_gptsovits/GPT-SoVITS/SoVITS_weights_v2Pro/BAISOUND_TASK097_V1_e2_s100.pth","8ec7a56c3ec00c62b05d6558dd425a23478acf278f3724cb90c1863f69d89721","models/candidates/sovits/BAISOUND_TASK097_V1_e2_s100.pth","CANDIDATE","models/candidates/v1/sovits/baisound-voice-v1-sovits-epoch02-step0100.pth","1-candidate","existing public candidate preserved"
"/home/baisound/BAI_AI/task097_gptsovits/GPT-SoVITS/SoVITS_weights_v2Pro/BAISOUND_TASK097_V1_e4_s200.pth","107f8bd79e23dceb301ccf50e2114e4880c84c092bc7fe117aa3d1bdc0c1033d","models/candidates/sovits/BAISOUND_TASK097_V1_e4_s200.pth","CANDIDATE","models/candidates/v1/sovits/baisound-voice-v1-sovits-epoch04-step0200.pth","1-candidate","existing public candidate preserved"
"/home/baisound/BAI_AI/task097_gptsovits/GPT-SoVITS/SoVITS_weights_v2Pro/BAISOUND_TASK097_V1_e6_s300.pth","d5529d4ede88d35ad98193a4c7e7358a3454b0d908ad613d7ce19e7343e09137","models/candidates/sovits/BAISOUND_TASK097_V1_e6_s300.pth","CANDIDATE","models/candidates/v1/sovits/baisound-voice-v1-sovits-epoch06-step0300.pth","1-candidate","existing public candidate preserved"
"/home/baisound/BAI_AI/task097_gptsovits/GPT-SoVITS/SoVITS_weights_v2Pro/BAISOUND_TASK097_V1_e8_s400.pth","cc040cea1c5765620f464388d75809047f7f29087fff639c8f423b448447ad5d","models/candidates/sovits/BAISOUND_TASK097_V1_e8_s400.pth","CANDIDATE","models/candidates/v1/sovits/baisound-voice-v1-sovits-epoch08-step0400.pth","1-candidate","existing public candidate preserved"
"/home/baisound/BAI_AI/task097_gptsovits/GPT-SoVITS/GPT_weights_v2Pro/BAISOUND_TASK097_V1-e5.ckpt","aa2377f760971e4aeaead7d5319693a8ea8725b6e3121273d1a546ac7f30e669","models/candidates/gpt/BAISOUND_TASK097_V1-e5.ckpt","CANDIDATE","models/candidates/v1/gpt/baisound-voice-v1-gpt-epoch05.ckpt","1-candidate","existing public candidate preserved"
"/home/baisound/BAI_AI/task097_gptsovits/GPT-SoVITS/GPT_weights_v2Pro/BAISOUND_TASK097_V1-e10.ckpt","16943e46220179da1de4c1df0b71eb82729c04d54c9594065405d6b6c1259998","models/candidates/gpt/BAISOUND_TASK097_V1-e10.ckpt","CANDIDATE","models/candidates/v1/gpt/baisound-voice-v1-gpt-epoch10.ckpt","1-candidate","existing public candidate preserved"
"/home/baisound/BAI_AI/task097_gptsovits/GPT-SoVITS/GPT_weights_v2Pro/BAISOUND_TASK097_V1-e15.ckpt","a421ba90c243b9c1745526310ec52da47b4c08ccab4ba7abb9a5a7fb807759aa","models/candidates/gpt/BAISOUND_TASK097_V1-e15.ckpt","CANDIDATE","models/candidates/v1/gpt/baisound-voice-v1-gpt-epoch15.ckpt","1-candidate","existing public candidate preserved"
"/home/baisound/BAI_AI/task097_gptsovits/GPT-SoVITS/SoVITS_weights_v2Pro/BAISOUND_TASK097_V2_FRESH_e4_s192.pth","76a492931f97cd349c6d7d6f04bab4f2442fa9890a5a40708a1d49f919f8e0ff","","STABLE","models/stable/v2/baisound-voice-v2-sovits.pth","2.0.0","approved stable identity; no reselection"
"/home/baisound/BAI_AI/task097_gptsovits/GPT-SoVITS/GPT_weights_v2Pro/BAISOUND_TASK097_V2_FRESH-e15.ckpt","4dd990db49d56bdaff6c4988635c46b58f73e1d719297570f0d361184fd60745","","STABLE","models/stable/v2/baisound-voice-v2-gpt.ckpt","2.0.0","approved stable identity; no reselection"
"/home/baisound/BAI_AI/task097_gptsovits/GPT-SoVITS/SoVITS_weights_v2Pro/BAISOUND_TASK097_V2_FRESH_e6_s288.pth","19830cc736786cb023f7d8a913ab0ba9c1485af8b5a54f8d90784c8542f6a943","","EXPERIMENTAL","models/experimental/signature-preview-v2/baisound-voice-v2-signature-preview-sovits.pth","2.0.0","approved signature preview; stable GPT reused by profile"
